2018-06-14 15:49:30.453039: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-06-14 15:49:30.717287: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 major: 6 minor: 1 memoryClockRate(GHz): 1.7335
pciBusID: 0000:01:00.0
totalMemory: 7.92GiB freeMemory: 7.81GiB
2018-06-14 15:49:30.717315: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080, pci bus id: 0000:01:00.0, compute capability: 6.1)
step: 55400, v_ppl: 84.644998, tst_ppl: 78.251286, mean_rwd: 0.008025, exp_rwd_loss: 0.016742, update_loss: 6.304093
step: 55500, v_ppl: 84.645215, tst_ppl: 78.251746, mean_rwd: -0.002672, exp_rwd_loss: 0.012151, update_loss: -2.287268
step: 55600, v_ppl: 84.646449, tst_ppl: 78.253718, mean_rwd: 0.003896, exp_rwd_loss: 0.013919, update_loss: 3.303665
step: 55700, v_ppl: 84.646787, tst_ppl: 78.254762, mean_rwd: -0.001183, exp_rwd_loss: 0.008339, update_loss: -1.590247
step: 55800, v_ppl: 84.646630, tst_ppl: 78.254605, mean_rwd: 0.006113, exp_rwd_loss: 0.010597, update_loss: 5.516795
step: 55900, v_ppl: 84.646258, tst_ppl: 78.254179, mean_rwd: -0.004766, exp_rwd_loss: 0.011982, update_loss: -4.114230
step: 56000, v_ppl: 84.645677, tst_ppl: 78.253579, mean_rwd: 0.002184, exp_rwd_loss: 0.011912, update_loss: 2.265030
step: 56100, v_ppl: 84.645498, tst_ppl: 78.253419, mean_rwd: -0.011272, exp_rwd_loss: 0.017206, update_loss: -9.426031
step: 56200, v_ppl: 84.645480, tst_ppl: 78.253407, mean_rwd: -0.000696, exp_rwd_loss: 0.011034, update_loss: 0.122296
step: 56300, v_ppl: 84.645073, tst_ppl: 78.252930, mean_rwd: 0.001178, exp_rwd_loss: 0.010040, update_loss: 0.839408
step: 56400, v_ppl: 84.644508, tst_ppl: 78.252260, mean_rwd: 0.002608, exp_rwd_loss: 0.010782, update_loss: 2.000611
step: 56500, v_ppl: 84.644036, tst_ppl: 78.251736, mean_rwd: -0.007761, exp_rwd_loss: 0.010912, update_loss: -5.730505
step: 56600, v_ppl: 84.644071, tst_ppl: 78.251676, mean_rwd: 0.002294, exp_rwd_loss: 0.011090, update_loss: 2.190017
step: 56700, v_ppl: 84.645308, tst_ppl: 78.252891, mean_rwd: 0.003176, exp_rwd_loss: 0.011178, update_loss: 2.842538
step: 56800, v_ppl: 84.645431, tst_ppl: 78.253042, mean_rwd: -0.003871, exp_rwd_loss: 0.012266, update_loss: -2.735969
step: 56900, v_ppl: 84.645095, tst_ppl: 78.252714, mean_rwd: -0.001402, exp_rwd_loss: 0.008914, update_loss: -1.114614
step: 57000, v_ppl: 84.644498, tst_ppl: 78.251969, mean_rwd: 0.006033, exp_rwd_loss: 0.010859, update_loss: 5.180012
step: 57100, v_ppl: 84.643813, tst_ppl: 78.251229, mean_rwd: 0.004996, exp_rwd_loss: 0.009614, update_loss: 3.927184
step: 57200, v_ppl: 84.643841, tst_ppl: 78.251094, mean_rwd: 0.001562, exp_rwd_loss: 0.009022, update_loss: 1.427868
step: 57300, v_ppl: 84.642849, tst_ppl: 78.250225, mean_rwd: 0.000282, exp_rwd_loss: 0.009019, update_loss: 0.192714
step: 57400, v_ppl: 84.643090, tst_ppl: 78.250433, mean_rwd: -0.003993, exp_rwd_loss: 0.009593, update_loss: -2.780606
step: 57500, v_ppl: 84.643167, tst_ppl: 78.250442, mean_rwd: 0.002471, exp_rwd_loss: 0.007161, update_loss: 1.830777
step: 57600, v_ppl: 84.644356, tst_ppl: 78.251601, mean_rwd: -0.001834, exp_rwd_loss: 0.010722, update_loss: -1.030482
step: 57700, v_ppl: 84.643081, tst_ppl: 78.250290, mean_rwd: 0.000319, exp_rwd_loss: 0.008397, update_loss: 0.301755
step: 57800, v_ppl: 84.642214, tst_ppl: 78.249249, mean_rwd: -0.003584, exp_rwd_loss: 0.007973, update_loss: -2.727421
step: 57900, v_ppl: 84.642592, tst_ppl: 78.249681, mean_rwd: 0.002602, exp_rwd_loss: 0.005827, update_loss: 2.415802
step: 58000, v_ppl: 84.642268, tst_ppl: 78.249355, mean_rwd: 0.003460, exp_rwd_loss: 0.008107, update_loss: 2.900784
step: 58100, v_ppl: 84.641704, tst_ppl: 78.248787, mean_rwd: 0.011370, exp_rwd_loss: 0.013586, update_loss: 9.212686
step: 58200, v_ppl: 84.641427, tst_ppl: 78.248529, mean_rwd: 0.004499, exp_rwd_loss: 0.007461, update_loss: 3.611110
step: 58300, v_ppl: 84.641724, tst_ppl: 78.248824, mean_rwd: -0.005544, exp_rwd_loss: 0.008879, update_loss: -4.649290
step: 58400, v_ppl: 84.641617, tst_ppl: 78.248676, mean_rwd: -0.008270, exp_rwd_loss: 0.010333, update_loss: -6.976308
step: 58500, v_ppl: 84.643010, tst_ppl: 78.250228, mean_rwd: -0.013721, exp_rwd_loss: 0.015584, update_loss: -11.414646
step: 58600, v_ppl: 84.640973, tst_ppl: 78.248529, mean_rwd: -0.008476, exp_rwd_loss: 0.009289, update_loss: -6.817171
step: 58700, v_ppl: 84.640042, tst_ppl: 78.247491, mean_rwd: -0.012765, exp_rwd_loss: 0.013793, update_loss: -10.348837
step: 58800, v_ppl: 84.639852, tst_ppl: 78.247291, mean_rwd: 0.012074, exp_rwd_loss: 0.015819, update_loss: 9.094890
step: 58900, v_ppl: 84.639680, tst_ppl: 78.247113, mean_rwd: 0.000794, exp_rwd_loss: 0.006631, update_loss: 0.826078
step: 59000, v_ppl: 84.639651, tst_ppl: 78.247092, mean_rwd: 0.006283, exp_rwd_loss: 0.010902, update_loss: 5.074073
