train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize201.epoch150.seqlen16.random.present0.5.partition2.hidden1024/
step:32201 source:(201, 18) loss:4.15799 lr:0.000013
epoch:65 test_present_rate:0.5 test_bleu:42.475539445877075 template_bleu:41.28710329532623
step:32401 source:(201, 18) loss:4.19308 lr:0.000013
step:32601 source:(201, 18) loss:4.1687 lr:0.000013
step:32801 source:(201, 18) loss:4.21413 lr:0.000013
step:33001 source:(201, 18) loss:4.19321 lr:0.000013
step:33201 source:(201, 18) loss:4.17897 lr:0.000013
step:33401 source:(201, 18) loss:4.17948 lr:0.000013
step:33601 source:(201, 18) loss:4.14429 lr:0.000013
step:33801 source:(201, 18) loss:4.15108 lr:0.000013
step:34001 source:(201, 18) loss:4.16825 lr:0.000013
step:34201 source:(201, 18) loss:4.10939 lr:0.000013
step:34401 source:(201, 18) loss:4.17445 lr:0.000013
step:34601 source:(201, 18) loss:4.12675 lr:0.000013
step:34801 source:(201, 18) loss:4.19028 lr:0.000013
epoch:70 test_present_rate:0.5 test_bleu:42.03621447086334 template_bleu:41.11884534358978
step:35001 source:(201, 18) loss:4.13564 lr:0.000013
step:35201 source:(201, 18) loss:4.12644 lr:0.000013
step:35401 source:(201, 18) loss:4.16821 lr:0.000013
step:35601 source:(201, 18) loss:4.15753 lr:0.000013
step:35801 source:(201, 18) loss:4.11506 lr:0.000013
step:36001 source:(201, 18) loss:4.14362 lr:0.000013
step:36201 source:(201, 18) loss:4.1236 lr:0.000013
step:36401 source:(201, 18) loss:4.16618 lr:0.000013
step:36601 source:(201, 18) loss:4.12842 lr:0.000013
step:36801 source:(201, 18) loss:4.13591 lr:0.000013
step:37001 source:(201, 18) loss:4.16856 lr:0.000013
step:37201 source:(201, 18) loss:4.12513 lr:0.000013
epoch:75 test_present_rate:0.5 test_bleu:42.2580748796463 template_bleu:41.218170523643494
step:37401 source:(201, 18) loss:4.11792 lr:0.000013
step:37601 source:(201, 18) loss:4.15856 lr:0.000013
step:37801 source:(201, 18) loss:4.15073 lr:0.000013
step:38001 source:(201, 18) loss:4.11951 lr:0.000013
step:38201 source:(201, 18) loss:4.18736 lr:0.000013
step:38401 source:(201, 18) loss:4.16058 lr:0.000013
step:38601 source:(201, 18) loss:4.12472 lr:0.000013
step:38801 source:(201, 18) loss:4.15302 lr:0.000013
step:39001 source:(201, 18) loss:4.1793 lr:0.000013
step:39201 source:(201, 18) loss:4.16445 lr:0.000013
step:39401 source:(201, 18) loss:4.16752 lr:0.000013
step:39601 source:(201, 18) loss:4.20774 lr:0.000013
step:39801 source:(201, 18) loss:4.18318 lr:0.000013
epoch:80 test_present_rate:0.5 test_bleu:41.775551438331604 template_bleu:40.91746509075165
step:40001 source:(201, 18) loss:4.12815 lr:0.000013
step:40201 source:(201, 18) loss:4.13254 lr:0.000013
step:40401 source:(201, 18) loss:4.13494 lr:0.000013
step:40601 source:(201, 18) loss:4.15722 lr:0.000013
step:40801 source:(201, 18) loss:4.15133 lr:0.000013
step:41001 source:(201, 18) loss:4.13508 lr:0.000001
step:41201 source:(201, 18) loss:4.10319 lr:0.000001
step:41401 source:(201, 18) loss:4.14747 lr:0.000001
step:41601 source:(201, 18) loss:4.15473 lr:0.000001
step:41801 source:(201, 18) loss:4.14557 lr:0.000001
step:42001 source:(201, 18) loss:4.17328 lr:0.000001
step:42201 source:(201, 18) loss:4.2087 lr:0.000001
epoch:85 test_present_rate:0.5 test_bleu:42.04098284244537 template_bleu:41.119349002838135
step:42401 source:(201, 18) loss:4.10304 lr:0.000001
step:42601 source:(201, 18) loss:4.11897 lr:0.000001
step:42801 source:(201, 18) loss:4.08631 lr:0.000001
