train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize64.epoch150.seqlen16.random.present0.5.partition2.hidden512/
step:30801 source:(64, 18) loss:3.59363 lr:0.000035
step:31001 source:(64, 18) loss:3.7887 lr:0.000035
step:31201 source:(64, 18) loss:3.73744 lr:0.000035
epoch:20 test_present_rate:0.5 test_bleu:43.61770451068878 template_bleu:41.54230356216431
epoch:20 test_present_rate:0.5 train_bleu:43.446168303489685 template_bleu:41.09833538532257
step:31401 source:(64, 18) loss:3.6534 lr:0.000035
step:31601 source:(64, 18) loss:3.6958 lr:0.000035
step:31801 source:(64, 18) loss:3.64588 lr:0.000035
step:32001 source:(64, 18) loss:3.66123 lr:0.000035
step:32201 source:(64, 18) loss:3.72962 lr:0.000035
step:32401 source:(64, 18) loss:3.64455 lr:0.000035
step:32601 source:(64, 18) loss:3.78917 lr:0.000035
step:32801 source:(64, 18) loss:3.74885 lr:0.000035
step:33001 source:(64, 18) loss:3.72314 lr:0.000035
step:33201 source:(64, 18) loss:3.72258 lr:0.000035
step:33401 source:(64, 18) loss:3.75033 lr:0.000035
step:33601 source:(64, 18) loss:3.75527 lr:0.000035
step:33801 source:(64, 18) loss:3.74084 lr:0.000035
step:34001 source:(64, 18) loss:3.74154 lr:0.000035
step:34201 source:(64, 18) loss:3.80676 lr:0.000035
step:34401 source:(64, 18) loss:3.71491 lr:0.000035
step:34601 source:(64, 18) loss:3.56407 lr:0.000035
step:34801 source:(64, 18) loss:3.67722 lr:0.000035
step:35001 source:(64, 18) loss:3.67479 lr:0.000035
step:35201 source:(64, 18) loss:3.6958 lr:0.000035
step:35401 source:(64, 18) loss:3.76336 lr:0.000035
step:35601 source:(64, 18) loss:3.69781 lr:0.000035
step:35801 source:(64, 18) loss:3.66177 lr:0.000035
step:36001 source:(64, 18) loss:3.85282 lr:0.000035
step:36201 source:(64, 18) loss:3.71893 lr:0.000035
step:36401 source:(64, 18) loss:3.77974 lr:0.000035
step:36601 source:(64, 18) loss:3.60591 lr:0.000035
step:36801 source:(64, 18) loss:3.72437 lr:0.000035
step:37001 source:(64, 18) loss:3.67538 lr:0.000035
step:37201 source:(64, 18) loss:3.79078 lr:0.000035
step:37401 source:(64, 18) loss:3.66229 lr:0.000035
step:37601 source:(64, 18) loss:3.65846 lr:0.000035
step:37801 source:(64, 18) loss:3.71465 lr:0.000035
step:38001 source:(64, 18) loss:3.73684 lr:0.000035
step:38201 source:(64, 18) loss:3.65731 lr:0.000035
step:38401 source:(64, 18) loss:3.80823 lr:0.000035
step:38601 source:(64, 18) loss:3.66985 lr:0.000035
step:38801 source:(64, 18) loss:3.57113 lr:0.000035
step:39001 source:(64, 18) loss:3.71472 lr:0.000035
epoch:25 test_present_rate:0.5 test_bleu:43.73944103717804 template_bleu:41.091388463974
epoch:25 test_present_rate:0.5 train_bleu:43.979114294052124 template_bleu:41.20159149169922
