train_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.valid.txt
logdir:./log_dir/nmt.bsize400.epoch150.seqlen16.random.present0.5.partition2.hidden512.seq2seq/
step:50601 source:(400, 18) loss:3.20489
step:50801 source:(400, 18) loss:3.21457
step:51001 source:(400, 18) loss:3.19044
step:51201 source:(400, 18) loss:3.1875
step:51401 source:(400, 18) loss:3.20975
step:51601 source:(400, 18) loss:3.26781
step:51801 source:(400, 18) loss:3.19486
step:52001 source:(400, 18) loss:3.23437
step:52201 source:(400, 18) loss:3.23424
step:52401 source:(400, 18) loss:3.14321
step:52601 source:(400, 18) loss:3.19994
step:52801 source:(400, 18) loss:3.21402
step:53001 source:(400, 18) loss:3.20979
step:53201 source:(400, 18) loss:3.2575
step:53401 source:(400, 18) loss:3.23417
step:53601 source:(400, 18) loss:3.19393
step:53801 source:(400, 18) loss:3.22965
step:54001 source:(400, 18) loss:3.2087
step:54201 source:(400, 18) loss:3.23253
step:54401 source:(400, 18) loss:3.24139
step:54601 source:(400, 18) loss:3.18518
step:54801 source:(400, 18) loss:3.22301
step:55001 source:(400, 18) loss:3.21538
step:55201 source:(400, 18) loss:3.16671
step:55401 source:(400, 18) loss:3.19689
step:55601 source:(400, 18) loss:3.18444
step:55801 source:(400, 18) loss:3.18799
step:56001 source:(400, 18) loss:3.15742
step:56201 source:(400, 18) loss:3.1986
epoch:45 test_bleu:45.134711265563965 template_bleu:43.54371428489685
epoch:45 train_bleu:52.89252996444702 template_bleu:45.72924077510834
step:56401 source:(400, 18) loss:3.21408
step:56601 source:(400, 18) loss:3.25239
step:56801 source:(400, 18) loss:3.19898
step:57001 source:(400, 18) loss:3.23164
step:57201 source:(400, 18) loss:3.24138
step:57401 source:(400, 18) loss:3.15729
step:57601 source:(400, 18) loss:3.18434
step:57801 source:(400, 18) loss:3.2012
step:58001 source:(400, 18) loss:3.21791
step:58201 source:(400, 18) loss:3.25161
step:58401 source:(400, 18) loss:3.18368
step:58601 source:(400, 18) loss:3.2055
step:58801 source:(400, 18) loss:3.21003
step:59001 source:(400, 18) loss:3.22184
step:59201 source:(400, 18) loss:3.22661
step:59401 source:(400, 18) loss:3.24372
step:59601 source:(400, 18) loss:3.18852
step:59801 source:(400, 18) loss:3.23168
step:60001 source:(400, 18) loss:3.19393
step:60201 source:(400, 18) loss:3.16158
step:60401 source:(400, 18) loss:3.21346
step:60601 source:(400, 18) loss:3.19668
step:60801 source:(400, 18) loss:3.19927
step:61001 source:(400, 18) loss:3.13443
step:61201 source:(400, 18) loss:3.20105
step:61401 source:(400, 18) loss:3.22285
step:61601 source:(400, 18) loss:3.24115
step:61801 source:(400, 18) loss:3.19981
step:62001 source:(400, 18) loss:3.24212
