train_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.valid.txt
logdir:./log_dir/nmt.bsize400.epoch300.seqlen16.fixed.present0.5.partition2.hidden512/
step:57801 source:(400, 18) loss:4.9117 lr:0.000221
step:58001 source:(400, 18) loss:4.87173 lr:0.000221
step:58201 source:(400, 18) loss:4.95753 lr:0.000221
step:58401 source:(400, 18) loss:5.00311 lr:0.000221
step:58601 source:(400, 18) loss:4.88293 lr:0.000221
step:58801 source:(400, 18) loss:4.8437 lr:0.000221
step:59001 source:(400, 18) loss:4.88227 lr:0.000221
step:59201 source:(400, 18) loss:4.90894 lr:0.000221
step:59401 source:(400, 18) loss:4.88384 lr:0.000221
step:59601 source:(400, 18) loss:4.85961 lr:0.000221
step:59801 source:(400, 18) loss:4.87132 lr:0.000221
