train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize200.epoch150.seqlen16.random.present0.5.partition2.hidden1024/
step:27401 source:(200, 18) loss:3.90828 lr:0.000008
epoch:55 test_present_rate:0.5 test_bleu:43.7256783246994 template_bleu:41.22363328933716
step:27601 source:(200, 18) loss:3.92573 lr:0.000008
step:27801 source:(200, 18) loss:3.89742 lr:0.000008
step:28001 source:(200, 18) loss:3.85815 lr:0.000008
step:28201 source:(200, 18) loss:3.92869 lr:0.000008
step:28401 source:(200, 18) loss:3.85192 lr:0.000008
step:28601 source:(200, 18) loss:3.93126 lr:0.000008
step:28801 source:(200, 18) loss:3.8753 lr:0.000008
step:29001 source:(200, 18) loss:3.8699 lr:0.000008
step:29201 source:(200, 18) loss:3.86829 lr:0.000008
step:29401 source:(200, 18) loss:3.90213 lr:0.000008
step:29601 source:(200, 18) loss:3.93599 lr:0.000008
step:29801 source:(200, 18) loss:3.8571 lr:0.000008
epoch:60 test_present_rate:0.5 test_bleu:44.01909410953522 template_bleu:41.42051041126251
step:30001 source:(200, 18) loss:3.81554 lr:0.000008
step:30201 source:(200, 18) loss:3.90818 lr:0.000008
step:30401 source:(200, 18) loss:3.84 lr:0.000008
step:30601 source:(200, 18) loss:3.95599 lr:0.000008
step:30801 source:(200, 18) loss:3.92058 lr:0.000008
step:31001 source:(200, 18) loss:3.82226 lr:0.000008
step:31201 source:(200, 18) loss:3.92511 lr:0.000008
step:31401 source:(200, 18) loss:3.88425 lr:0.000008
step:31601 source:(200, 18) loss:3.92918 lr:0.000008
step:31801 source:(200, 18) loss:3.88533 lr:0.000008
step:32001 source:(200, 18) loss:3.87061 lr:0.000008
step:32201 source:(200, 18) loss:3.8678 lr:0.000008
step:32401 source:(200, 18) loss:3.86248 lr:0.000008
epoch:65 test_present_rate:0.5 test_bleu:44.05500888824463 template_bleu:41.38331413269043
step:32601 source:(200, 18) loss:3.92183 lr:0.000008
step:32801 source:(200, 18) loss:3.90268 lr:0.000008
step:33001 source:(200, 18) loss:3.81206 lr:0.000008
step:33201 source:(200, 18) loss:3.84987 lr:0.000008
step:33401 source:(200, 18) loss:3.93306 lr:0.000008
step:33601 source:(200, 18) loss:3.93332 lr:0.000008
step:33801 source:(200, 18) loss:3.89338 lr:0.000008
step:34001 source:(200, 18) loss:3.84231 lr:0.000008
step:34201 source:(200, 18) loss:3.9603 lr:0.000008
step:34401 source:(200, 18) loss:3.86502 lr:0.000008
step:34601 source:(200, 18) loss:3.90465 lr:0.000008
step:34801 source:(200, 18) loss:3.90959 lr:0.000008
epoch:70 test_present_rate:0.5 test_bleu:43.7763512134552 template_bleu:41.189199686050415
step:35001 source:(200, 18) loss:3.84616 lr:0.000008
step:35201 source:(200, 18) loss:3.88252 lr:0.000008
step:35401 source:(200, 18) loss:3.92519 lr:0.000008
step:35601 source:(200, 18) loss:3.92166 lr:0.000008
step:35801 source:(200, 18) loss:3.89408 lr:0.000008
step:36001 source:(200, 18) loss:3.88604 lr:0.000008
step:36201 source:(200, 18) loss:3.89613 lr:0.000008
step:36401 source:(200, 18) loss:3.88001 lr:0.000008
step:36601 source:(200, 18) loss:3.91414 lr:0.000008
step:36801 source:(200, 18) loss:3.86459 lr:0.000008
step:37001 source:(200, 18) loss:3.82118 lr:0.000008
step:37201 source:(200, 18) loss:3.91243 lr:0.000008
step:37401 source:(200, 18) loss:3.86316 lr:0.000008
epoch:75 test_present_rate:0.5 test_bleu:43.66867542266846 template_bleu:41.325074434280396
step:37601 source:(200, 18) loss:3.90396 lr:0.000008
step:37801 source:(200, 18) loss:3.86032 lr:0.000008
step:38001 source:(200, 18) loss:3.83089 lr:0.000008
step:38201 source:(200, 18) loss:3.88792 lr:0.000008
step:38401 source:(200, 18) loss:3.82555 lr:0.000008
step:38601 source:(200, 18) loss:3.89212 lr:0.000008
step:38801 source:(200, 18) loss:3.90812 lr:0.000008
step:39001 source:(200, 18) loss:3.89124 lr:0.000008
step:39201 source:(200, 18) loss:3.87573 lr:0.000008
step:39401 source:(200, 18) loss:3.8862 lr:0.000008
step:39601 source:(200, 18) loss:3.91303 lr:0.000008
step:39801 source:(200, 18) loss:3.90203 lr:0.000008
epoch:80 test_present_rate:0.5 test_bleu:43.528902530670166 template_bleu:41.29744470119476
step:40001 source:(200, 18) loss:3.87237 lr:0.000008
step:40201 source:(200, 18) loss:3.84927 lr:0.000008
step:40401 source:(200, 18) loss:3.86139 lr:0.000008
step:40601 source:(200, 18) loss:3.92076 lr:0.000008
step:40801 source:(200, 18) loss:3.85535 lr:0.000008
step:41001 source:(200, 18) loss:3.89491 lr:0.000001
step:41201 source:(200, 18) loss:3.89955 lr:0.000001
step:41401 source:(200, 18) loss:3.88304 lr:0.000001
step:41601 source:(200, 18) loss:3.9024 lr:0.000001
step:41801 source:(200, 18) loss:3.94492 lr:0.000001
step:42001 source:(200, 18) loss:3.85972 lr:0.000001
step:42201 source:(200, 18) loss:3.88484 lr:0.000001
step:42401 source:(200, 18) loss:3.83284 lr:0.000001
epoch:85 test_present_rate:0.5 test_bleu:43.62080693244934 template_bleu:41.086629033088684
step:42601 source:(200, 18) loss:3.89487 lr:0.000001
step:42801 source:(200, 18) loss:3.91703 lr:0.000001
step:43001 source:(200, 18) loss:3.84344 lr:0.000001
step:43201 source:(200, 18) loss:3.84794 lr:0.000001
step:43401 source:(200, 18) loss:3.87231 lr:0.000001
step:43601 source:(200, 18) loss:3.90142 lr:0.000001
step:43801 source:(200, 18) loss:3.89127 lr:0.000001
step:44001 source:(200, 18) loss:3.87102 lr:0.000001
step:44201 source:(200, 18) loss:3.9023 lr:0.000001
step:44401 source:(200, 18) loss:3.85966 lr:0.000001
step:44601 source:(200, 18) loss:3.90014 lr:0.000001
step:44801 source:(200, 18) loss:3.85229 lr:0.000001
epoch:90 test_present_rate:0.5 test_bleu:43.894773721694946 template_bleu:41.26443862915039
step:45001 source:(200, 18) loss:3.83553 lr:0.000001
step:45201 source:(200, 18) loss:3.90853 lr:0.000001
step:45401 source:(200, 18) loss:3.88319 lr:0.000001
step:45601 source:(200, 18) loss:3.85889 lr:0.000001
step:45801 source:(200, 18) loss:3.88636 lr:0.000001
step:46001 source:(200, 18) loss:3.85325 lr:0.000001
step:46201 source:(200, 18) loss:3.91103 lr:0.000001
step:46401 source:(200, 18) loss:3.88863 lr:0.000001
step:46601 source:(200, 18) loss:3.87786 lr:0.000001
step:46801 source:(200, 18) loss:3.86688 lr:0.000001
step:47001 source:(200, 18) loss:3.8654 lr:0.000001
step:47201 source:(200, 18) loss:3.92152 lr:0.000001
step:47401 source:(200, 18) loss:3.85649 lr:0.000001
epoch:95 test_present_rate:0.5 test_bleu:43.82877051830292 template_bleu:41.14293158054352
step:47601 source:(200, 18) loss:3.93654 lr:0.000001
step:47801 source:(200, 18) loss:3.86665 lr:0.000001
step:48001 source:(200, 18) loss:3.88054 lr:0.000001
step:48201 source:(200, 18) loss:3.87626 lr:0.000001
step:48401 source:(200, 18) loss:3.84382 lr:0.000001
step:48601 source:(200, 18) loss:3.92879 lr:0.000001
step:48801 source:(200, 18) loss:3.89614 lr:0.000001
step:49001 source:(200, 18) loss:3.86072 lr:0.000001
step:49201 source:(200, 18) loss:3.90908 lr:0.000001
step:49401 source:(200, 18) loss:3.86901 lr:0.000001
step:49601 source:(200, 18) loss:3.9212 lr:0.000001
step:49801 source:(200, 18) loss:3.9019 lr:0.000001
epoch:100 test_present_rate:0.5 test_bleu:43.88566613197327 template_bleu:41.38416051864624
step:50001 source:(200, 18) loss:3.89872 lr:0.000001
step:50201 source:(200, 18) loss:3.89696 lr:0.000001
step:50401 source:(200, 18) loss:3.84461 lr:0.000001
step:50601 source:(200, 18) loss:3.8887 lr:0.000001
step:50801 source:(200, 18) loss:3.84115 lr:0.000001
step:51001 source:(200, 18) loss:3.83847 lr:0.000001
step:51201 source:(200, 18) loss:3.94127 lr:0.000001
step:51401 source:(200, 18) loss:3.90466 lr:0.000001
step:51601 source:(200, 18) loss:3.86588 lr:0.000001
step:51801 source:(200, 18) loss:3.87113 lr:0.000001
step:52001 source:(200, 18) loss:3.81172 lr:0.000001
step:52201 source:(200, 18) loss:3.89625 lr:0.000001
step:52401 source:(200, 18) loss:3.84444 lr:0.000001
epoch:105 test_present_rate:0.5 test_bleu:43.715089559555054 template_bleu:41.262298822402954
step:52601 source:(200, 18) loss:3.85842 lr:0.000001
step:52801 source:(200, 18) loss:3.9151 lr:0.000001
step:53001 source:(200, 18) loss:3.86039 lr:0.000001
step:53201 source:(200, 18) loss:3.88856 lr:0.000001
step:53401 source:(200, 18) loss:3.91687 lr:0.000001
step:53601 source:(200, 18) loss:3.86009 lr:0.000001
step:53801 source:(200, 18) loss:3.90194 lr:0.000001
step:54001 source:(200, 18) loss:3.84788 lr:0.000001
step:54201 source:(200, 18) loss:3.87013 lr:0.000001
step:54401 source:(200, 18) loss:3.93285 lr:0.000001
step:54601 source:(200, 18) loss:3.88509 lr:0.000001
step:54801 source:(200, 18) loss:3.89876 lr:0.000001
epoch:110 test_present_rate:0.5 test_bleu:43.64670813083649 template_bleu:41.0414844751358
step:55001 source:(200, 18) loss:3.84767 lr:0.000001
step:55201 source:(200, 18) loss:3.85907 lr:0.000001
step:55401 source:(200, 18) loss:3.84532 lr:0.000001
step:55601 source:(200, 18) loss:3.92373 lr:0.000001
step:55801 source:(200, 18) loss:3.83836 lr:0.000001
step:56001 source:(200, 18) loss:3.8205 lr:0.000001
step:56201 source:(200, 18) loss:3.91318 lr:0.000001
step:56401 source:(200, 18) loss:3.85026 lr:0.000001
step:56601 source:(200, 18) loss:3.89518 lr:0.000001
step:56801 source:(200, 18) loss:3.87858 lr:0.000001
step:57001 source:(200, 18) loss:3.87517 lr:0.000001
step:57201 source:(200, 18) loss:3.87366 lr:0.000001
step:57401 source:(200, 18) loss:3.84465 lr:0.000001
epoch:115 test_present_rate:0.5 test_bleu:43.566954135894775 template_bleu:41.06469452381134
step:57601 source:(200, 18) loss:3.91438 lr:0.000001
step:57801 source:(200, 18) loss:3.8604 lr:0.000001
step:58001 source:(200, 18) loss:3.89866 lr:0.000001
step:58201 source:(200, 18) loss:3.88423 lr:0.000001
step:58401 source:(200, 18) loss:3.83164 lr:0.000001
step:58601 source:(200, 18) loss:3.89946 lr:0.000001
step:58801 source:(200, 18) loss:3.86331 lr:0.000001
step:59001 source:(200, 18) loss:3.83177 lr:0.000001
step:59201 source:(200, 18) loss:3.92698 lr:0.000001
step:59401 source:(200, 18) loss:3.87882 lr:0.000001
step:59601 source:(200, 18) loss:3.90463 lr:0.000001
step:59801 source:(200, 18) loss:3.9057 lr:0.000001
epoch:120 test_present_rate:0.5 test_bleu:43.915775418281555 template_bleu:41.172537207603455
step:60001 source:(200, 18) loss:3.83969 lr:0.000001
step:60201 source:(200, 18) loss:3.86522 lr:0.000001
step:60401 source:(200, 18) loss:3.83615 lr:0.000001
step:60601 source:(200, 18) loss:3.90868 lr:0.000001
step:60801 source:(200, 18) loss:3.89248 lr:0.000001
step:61001 source:(200, 18) loss:3.82925 lr:0.000000
step:61201 source:(200, 18) loss:3.85725 lr:0.000000
step:61401 source:(200, 18) loss:3.87262 lr:0.000000
step:61601 source:(200, 18) loss:3.93428 lr:0.000000
step:61801 source:(200, 18) loss:3.8794 lr:0.000000
step:62001 source:(200, 18) loss:3.81155 lr:0.000000
step:62201 source:(200, 18) loss:3.86653 lr:0.000000
step:62401 source:(200, 18) loss:3.90494 lr:0.000000
epoch:125 test_present_rate:0.5 test_bleu:43.90169382095337 template_bleu:41.36793911457062
step:62601 source:(200, 18) loss:3.89778 lr:0.000000
step:62801 source:(200, 18) loss:3.8402 lr:0.000000
step:63001 source:(200, 18) loss:3.82711 lr:0.000000
step:63201 source:(200, 18) loss:3.8875 lr:0.000000
step:63401 source:(200, 18) loss:3.8786 lr:0.000000
step:63601 source:(200, 18) loss:3.86332 lr:0.000000
step:63801 source:(200, 18) loss:3.85199 lr:0.000000
step:64001 source:(200, 18) loss:3.85576 lr:0.000000
step:64201 source:(200, 18) loss:3.8874 lr:0.000000
step:64401 source:(200, 18) loss:3.80962 lr:0.000000
step:64601 source:(200, 18) loss:3.85934 lr:0.000000
step:64801 source:(200, 18) loss:3.84852 lr:0.000000
epoch:130 test_present_rate:0.5 test_bleu:44.13067400455475 template_bleu:41.41305685043335
step:65001 source:(200, 18) loss:3.87364 lr:0.000000
step:65201 source:(200, 18) loss:3.84447 lr:0.000000
step:65401 source:(200, 18) loss:3.89759 lr:0.000000
step:65601 source:(200, 18) loss:3.88011 lr:0.000000
step:65801 source:(200, 18) loss:3.90384 lr:0.000000
step:66001 source:(200, 18) loss:3.85983 lr:0.000000
step:66201 source:(200, 18) loss:3.93609 lr:0.000000
step:66401 source:(200, 18) loss:3.88768 lr:0.000000
step:66601 source:(200, 18) loss:3.885 lr:0.000000
step:66801 source:(200, 18) loss:3.89131 lr:0.000000
step:67001 source:(200, 18) loss:3.84381 lr:0.000000
step:67201 source:(200, 18) loss:3.89143 lr:0.000000
step:67401 source:(200, 18) loss:3.85101 lr:0.000000
epoch:135 test_present_rate:0.5 test_bleu:43.82738769054413 template_bleu:41.494691371917725
step:67601 source:(200, 18) loss:3.93437 lr:0.000000
step:67801 source:(200, 18) loss:3.87846 lr:0.000000
step:68001 source:(200, 18) loss:3.87546 lr:0.000000
step:68201 source:(200, 18) loss:3.8947 lr:0.000000
step:68401 source:(200, 18) loss:3.80763 lr:0.000000
step:68601 source:(200, 18) loss:3.90424 lr:0.000000
step:68801 source:(200, 18) loss:3.93479 lr:0.000000
step:69001 source:(200, 18) loss:3.89479 lr:0.000000
step:69201 source:(200, 18) loss:3.86973 lr:0.000000
step:69401 source:(200, 18) loss:3.87116 lr:0.000000
step:69601 source:(200, 18) loss:3.87852 lr:0.000000
step:69801 source:(200, 18) loss:3.88341 lr:0.000000
epoch:140 test_present_rate:0.5 test_bleu:43.59219670295715 template_bleu:40.69277346134186
step:70001 source:(200, 18) loss:3.81838 lr:0.000000
step:70201 source:(200, 18) loss:3.95314 lr:0.000000
step:70401 source:(200, 18) loss:3.88081 lr:0.000000
step:70601 source:(200, 18) loss:3.89174 lr:0.000000
step:70801 source:(200, 18) loss:3.9118 lr:0.000000
step:71001 source:(200, 18) loss:3.837 lr:0.000000
step:71201 source:(200, 18) loss:3.91892 lr:0.000000
step:71401 source:(200, 18) loss:3.8414 lr:0.000000
step:71601 source:(200, 18) loss:3.9034 lr:0.000000
step:71801 source:(200, 18) loss:3.84646 lr:0.000000
step:72001 source:(200, 18) loss:3.85261 lr:0.000000
step:72201 source:(200, 18) loss:3.86844 lr:0.000000
step:72401 source:(200, 18) loss:3.8191 lr:0.000000
epoch:145 test_present_rate:0.5 test_bleu:43.89443397521973 template_bleu:41.10464155673981
step:72601 source:(200, 18) loss:3.90841 lr:0.000000
step:72801 source:(200, 18) loss:3.89928 lr:0.000000
step:73001 source:(200, 18) loss:3.8889 lr:0.000000
step:73201 source:(200, 18) loss:3.85414 lr:0.000000
step:73401 source:(200, 18) loss:3.8767 lr:0.000000
step:73601 source:(200, 18) loss:3.86049 lr:0.000000
step:73801 source:(200, 18) loss:3.87398 lr:0.000000
step:74001 source:(200, 18) loss:3.85632 lr:0.000000
step:74201 source:(200, 18) loss:3.86796 lr:0.000000
step:74401 source:(200, 18) loss:3.87978 lr:0.000000
step:74601 source:(200, 18) loss:3.92971 lr:0.000000
step:74801 source:(200, 18) loss:3.88987 lr:0.000000
/home/syp/miniconda2/envs/newtf/lib/python3.6/importlib/_bootstrap.py:205: RuntimeWarning: compiletime version 3.5 of module 'tensorflow.python.framework.fast_tensor_util' does not match runtime version 3.6
  return f(*args, **kwds)
