train_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.valid.txt
logdir:./log_dir/nmt.bsize128.epoch150.seqlen16.random.present0.5.partition2.hidden512/
epoch:0 test_present_rate:0.5 test_bleu:16.08985662460327 template_bleu:43.515744805336
epoch:0 test_present_rate:0.5 test_bleu:17.78467148542404 template_bleu:45.63233256340027
step:32201 source:(128, 18) loss:4.26573 lr:0.000354
step:32401 source:(128, 18) loss:4.32325 lr:0.000354
step:32601 source:(128, 18) loss:4.16312 lr:0.000354
step:32801 source:(128, 18) loss:4.3405 lr:0.000354
step:33001 source:(128, 18) loss:4.05046 lr:0.000354
step:33201 source:(128, 18) loss:4.24678 lr:0.000354
step:33401 source:(128, 18) loss:4.31258 lr:0.000354
step:33601 source:(128, 18) loss:4.36294 lr:0.000354
step:33801 source:(128, 18) loss:4.24489 lr:0.000354
step:34001 source:(128, 18) loss:4.37325 lr:0.000354
step:34201 source:(128, 18) loss:4.29637 lr:0.000354
step:34401 source:(128, 18) loss:4.33128 lr:0.000354
step:34601 source:(128, 18) loss:4.38727 lr:0.000354
step:34801 source:(128, 18) loss:4.37358 lr:0.000354
step:35001 source:(128, 18) loss:4.35205 lr:0.000354
step:35201 source:(128, 18) loss:4.60968 lr:0.000354
step:35401 source:(128, 18) loss:4.63575 lr:0.000354
step:35601 source:(128, 18) loss:4.38414 lr:0.000354
step:35801 source:(128, 18) loss:4.53304 lr:0.000354
step:36001 source:(128, 18) loss:4.60616 lr:0.000354
step:36201 source:(128, 18) loss:4.38299 lr:0.000354
step:36401 source:(128, 18) loss:4.49689 lr:0.000354
step:36601 source:(128, 18) loss:4.6282 lr:0.000354
step:36801 source:(128, 18) loss:4.48165 lr:0.000354
step:37001 source:(128, 18) loss:4.64768 lr:0.000354
step:37201 source:(128, 18) loss:4.64812 lr:0.000354
step:37401 source:(128, 18) loss:4.46867 lr:0.000354
step:37601 source:(128, 18) loss:4.50437 lr:0.000354
step:37801 source:(128, 18) loss:4.47071 lr:0.000354
step:38001 source:(128, 18) loss:4.39437 lr:0.000354
step:38201 source:(128, 18) loss:4.74039 lr:0.000354
step:38401 source:(128, 18) loss:4.43742 lr:0.000354
step:38601 source:(128, 18) loss:4.65344 lr:0.000354
step:38801 source:(128, 18) loss:4.64488 lr:0.000354
step:39001 source:(128, 18) loss:4.4134 lr:0.000354
epoch:10 test_present_rate:0.5 test_bleu:39.92471098899841 template_bleu:43.47126483917236
epoch:10 test_present_rate:0.5 test_bleu:41.15600883960724 template_bleu:45.574817061424255
step:39201 source:(128, 18) loss:4.72403 lr:0.000354
step:39401 source:(128, 18) loss:4.7666 lr:0.000354
step:39601 source:(128, 18) loss:4.78733 lr:0.000354
step:39801 source:(128, 18) loss:4.81589 lr:0.000354
step:40001 source:(128, 18) loss:4.6937 lr:0.000354
step:40201 source:(128, 18) loss:4.80325 lr:0.000354
step:40401 source:(128, 18) loss:4.66274 lr:0.000354
step:40601 source:(128, 18) loss:4.77708 lr:0.000354
step:40801 source:(128, 18) loss:4.88331 lr:0.000354
step:41001 source:(128, 18) loss:5.15193 lr:0.000354
step:41201 source:(128, 18) loss:4.90363 lr:0.000354
step:41401 source:(128, 18) loss:5.01123 lr:0.000354
step:41601 source:(128, 18) loss:4.70644 lr:0.000354
step:41801 source:(128, 18) loss:4.93 lr:0.000354
step:42001 source:(128, 18) loss:4.95678 lr:0.000354
step:42201 source:(128, 18) loss:5.0098 lr:0.000354
step:42401 source:(128, 18) loss:5.0357 lr:0.000354
step:42601 source:(128, 18) loss:4.8519 lr:0.000354
step:42801 source:(128, 18) loss:4.97535 lr:0.000354
step:43001 source:(128, 18) loss:5.01085 lr:0.000354
step:43201 source:(128, 18) loss:5.49619 lr:0.000354
step:43401 source:(128, 18) loss:5.04143 lr:0.000354
step:43601 source:(128, 18) loss:5.20281 lr:0.000354
step:43801 source:(128, 18) loss:5.17405 lr:0.000354
step:44001 source:(128, 18) loss:5.18657 lr:0.000354
step:44201 source:(128, 18) loss:4.79547 lr:0.000354
step:44401 source:(128, 18) loss:5.21386 lr:0.000354
step:44601 source:(128, 18) loss:5.07421 lr:0.000354
step:44801 source:(128, 18) loss:5.58529 lr:0.000354
step:45001 source:(128, 18) loss:4.79316 lr:0.000354
step:45201 source:(128, 18) loss:5.25278 lr:0.000354
step:45401 source:(128, 18) loss:5.41991 lr:0.000354
step:45601 source:(128, 18) loss:5.07091 lr:0.000354
step:45801 source:(128, 18) loss:5.45624 lr:0.000354
step:46001 source:(128, 18) loss:5.21764 lr:0.000354
step:46201 source:(128, 18) loss:5.9074 lr:0.000354
step:46401 source:(128, 18) loss:5.50276 lr:0.000354
step:46601 source:(128, 18) loss:5.61636 lr:0.000354
step:46801 source:(128, 18) loss:5.34195 lr:0.000354
step:47001 source:(128, 18) loss:5.3495 lr:0.000354
step:47201 source:(128, 18) loss:5.2654 lr:0.000354
step:47401 source:(128, 18) loss:5.35993 lr:0.000354
step:47601 source:(128, 18) loss:5.52143 lr:0.000354
step:47801 source:(128, 18) loss:5.77668 lr:0.000354
step:48001 source:(128, 18) loss:6.09583 lr:0.000354
step:48201 source:(128, 18) loss:5.5759 lr:0.000354
step:48401 source:(128, 18) loss:6.24544 lr:0.000354
step:48601 source:(128, 18) loss:5.61484 lr:0.000354
step:48801 source:(128, 18) loss:5.49527 lr:0.000354
step:49001 source:(128, 18) loss:6.11352 lr:0.000354
step:49201 source:(128, 18) loss:5.47564 lr:0.000354
step:49401 source:(128, 18) loss:5.73506 lr:0.000354
step:49601 source:(128, 18) loss:6.10681 lr:0.000354
step:49801 source:(128, 18) loss:5.86244 lr:0.000354
step:50001 source:(128, 18) loss:5.32707 lr:0.000354
step:50201 source:(128, 18) loss:5.91703 lr:0.000354
step:50401 source:(128, 18) loss:6.67744 lr:0.000354
step:50601 source:(128, 18) loss:5.9086 lr:0.000354
step:50801 source:(128, 18) loss:5.98626 lr:0.000354
step:51001 source:(128, 18) loss:6.41893 lr:0.000354
step:51201 source:(128, 18) loss:5.73729 lr:0.000354
step:51401 source:(128, 18) loss:5.54508 lr:0.000354
step:51601 source:(128, 18) loss:5.73863 lr:0.000354
step:51801 source:(128, 18) loss:6.07858 lr:0.000354
step:52001 source:(128, 18) loss:6.02257 lr:0.000354
step:52201 source:(128, 18) loss:6.67831 lr:0.000354
step:52401 source:(128, 18) loss:6.05262 lr:0.000354
step:52601 source:(128, 18) loss:6.30768 lr:0.000354
step:52801 source:(128, 18) loss:6.63805 lr:0.000354
step:53001 source:(128, 18) loss:5.97035 lr:0.000354
step:53201 source:(128, 18) loss:6.47376 lr:0.000354
step:53401 source:(128, 18) loss:6.35887 lr:0.000354
step:53601 source:(128, 18) loss:6.0902 lr:0.000354
step:53801 source:(128, 18) loss:6.30679 lr:0.000354
step:54001 source:(128, 18) loss:6.20991 lr:0.000354
step:54201 source:(128, 18) loss:6.10792 lr:0.000354
step:54401 source:(128, 18) loss:6.01766 lr:0.000354
step:54601 source:(128, 18) loss:6.44351 lr:0.000354
step:54801 source:(128, 18) loss:6.08268 lr:0.000354
step:55001 source:(128, 18) loss:5.92348 lr:0.000354
step:55201 source:(128, 18) loss:6.64451 lr:0.000354
step:55401 source:(128, 18) loss:6.75368 lr:0.000354
step:55601 source:(128, 18) loss:6.36744 lr:0.000354
step:55801 source:(128, 18) loss:6.83466 lr:0.000354
step:56001 source:(128, 18) loss:6.41476 lr:0.000354
step:56201 source:(128, 18) loss:6.52382 lr:0.000354
step:56401 source:(128, 18) loss:6.98926 lr:0.000354
step:56601 source:(128, 18) loss:6.84216 lr:0.000354
step:56801 source:(128, 18) loss:6.78955 lr:0.000354
step:57001 source:(128, 18) loss:6.68451 lr:0.000354
step:57201 source:(128, 18) loss:6.89899 lr:0.000354
step:57401 source:(128, 18) loss:6.97952 lr:0.000354
step:57601 source:(128, 18) loss:6.59024 lr:0.000354
step:57801 source:(128, 18) loss:7.55736 lr:0.000354
step:58001 source:(128, 18) loss:6.59681 lr:0.000354
step:58201 source:(128, 18) loss:7.42957 lr:0.000354
step:58401 source:(128, 18) loss:7.05029 lr:0.000354
step:58601 source:(128, 18) loss:7.0208 lr:0.000354
epoch:15 test_present_rate:0.5 test_bleu:40.112730860710144 template_bleu:43.48592460155487
epoch:15 test_present_rate:0.5 test_bleu:41.50165021419525 template_bleu:45.717909932136536
step:58801 source:(128, 18) loss:6.97177 lr:0.000354
step:59001 source:(128, 18) loss:7.24237 lr:0.000354
step:59201 source:(128, 18) loss:7.33914 lr:0.000354
step:59401 source:(128, 18) loss:7.4105 lr:0.000354
step:59601 source:(128, 18) loss:7.21607 lr:0.000354
step:59801 source:(128, 18) loss:6.8463 lr:0.000354
step:60001 source:(128, 18) loss:7.32722 lr:0.000354
step:60201 source:(128, 18) loss:6.58956 lr:0.000354
step:60401 source:(128, 18) loss:6.63977 lr:0.000354
step:60601 source:(128, 18) loss:7.64698 lr:0.000354
step:60801 source:(128, 18) loss:7.55095 lr:0.000354
step:61001 source:(128, 18) loss:7.34844 lr:0.000354
step:61201 source:(128, 18) loss:7.51069 lr:0.000354
step:61401 source:(128, 18) loss:7.3221 lr:0.000354
step:61601 source:(128, 18) loss:7.52033 lr:0.000354
step:61801 source:(128, 18) loss:8.23236 lr:0.000354
step:62001 source:(128, 18) loss:7.81447 lr:0.000354
step:62201 source:(128, 18) loss:8.32652 lr:0.000354
step:62401 source:(128, 18) loss:7.2859 lr:0.000354
step:62601 source:(128, 18) loss:8.11857 lr:0.000354
step:62801 source:(128, 18) loss:7.75365 lr:0.000354
step:63001 source:(128, 18) loss:7.88321 lr:0.000354
step:63201 source:(128, 18) loss:7.92964 lr:0.000354
step:63401 source:(128, 18) loss:9.12618 lr:0.000354
step:63601 source:(128, 18) loss:7.7189 lr:0.000354
step:63801 source:(128, 18) loss:7.50237 lr:0.000354
step:64001 source:(128, 18) loss:7.64099 lr:0.000354
step:64201 source:(128, 18) loss:8.39302 lr:0.000354
step:64401 source:(128, 18) loss:7.77478 lr:0.000354
step:64601 source:(128, 18) loss:8.40739 lr:0.000354
step:64801 source:(128, 18) loss:7.79564 lr:0.000354
step:65001 source:(128, 18) loss:8.9841 lr:0.000354
step:65201 source:(128, 18) loss:7.987 lr:0.000354
step:65401 source:(128, 18) loss:8.46202 lr:0.000354
step:65601 source:(128, 18) loss:8.4747 lr:0.000354
step:65801 source:(128, 18) loss:8.01339 lr:0.000354
step:66001 source:(128, 18) loss:8.44545 lr:0.000354
step:66201 source:(128, 18) loss:8.88978 lr:0.000354
step:66401 source:(128, 18) loss:8.26852 lr:0.000354
step:66601 source:(128, 18) loss:8.6476 lr:0.000354
step:66801 source:(128, 18) loss:8.79398 lr:0.000354
step:67001 source:(128, 18) loss:8.75537 lr:0.000354
step:67201 source:(128, 18) loss:9.24912 lr:0.000354
step:67401 source:(128, 18) loss:8.78619 lr:0.000354
step:67601 source:(128, 18) loss:8.58694 lr:0.000354
step:67801 source:(128, 18) loss:7.91366 lr:0.000354
step:68001 source:(128, 18) loss:8.83219 lr:0.000354
step:68201 source:(128, 18) loss:8.56918 lr:0.000354
step:68401 source:(128, 18) loss:9.39938 lr:0.000354
step:68601 source:(128, 18) loss:9.64749 lr:0.000354
step:68801 source:(128, 18) loss:9.08524 lr:0.000354
step:69001 source:(128, 18) loss:8.96125 lr:0.000354
