train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize128.epoch150.seqlen16.random.present0.5.partition2.hidden512/
step:43401 source:(128, 18) loss:5.3909 lr:0.000354
step:43601 source:(128, 18) loss:5.52709 lr:0.000354
step:43801 source:(128, 18) loss:5.67015 lr:0.000354
step:44001 source:(128, 18) loss:5.64311 lr:0.000354
step:44201 source:(128, 18) loss:5.39776 lr:0.000354
step:44401 source:(128, 18) loss:5.71766 lr:0.000354
step:44601 source:(128, 18) loss:5.55874 lr:0.000354
step:44801 source:(128, 18) loss:5.56866 lr:0.000354
step:45001 source:(128, 18) loss:5.72115 lr:0.000354
step:45201 source:(128, 18) loss:5.36422 lr:0.000354
step:45401 source:(128, 18) loss:5.60928 lr:0.000354
step:45601 source:(128, 18) loss:5.52131 lr:0.000354
step:45801 source:(128, 18) loss:5.76027 lr:0.000354
step:46001 source:(128, 18) loss:5.46496 lr:0.000354
step:46201 source:(128, 18) loss:5.77819 lr:0.000354
step:46401 source:(128, 18) loss:5.93483 lr:0.000354
step:46601 source:(128, 18) loss:5.43866 lr:0.000354
step:46801 source:(128, 18) loss:5.57417 lr:0.000354
epoch:60 test_present_rate:0.5 test_bleu:40.02847671508789 template_bleu:41.092848777770996
epoch:60 test_present_rate:0.5 test_bleu:40.35743474960327 template_bleu:41.24797582626343
step:47001 source:(128, 18) loss:5.77343 lr:0.000354
step:47201 source:(128, 18) loss:5.66237 lr:0.000354
step:47401 source:(128, 18) loss:5.73891 lr:0.000354
step:47601 source:(128, 18) loss:5.77838 lr:0.000354
step:47801 source:(128, 18) loss:6.33244 lr:0.000354
step:48001 source:(128, 18) loss:5.99022 lr:0.000354
step:48201 source:(128, 18) loss:6.29045 lr:0.000354
step:48401 source:(128, 18) loss:5.96336 lr:0.000354
step:48601 source:(128, 18) loss:5.64434 lr:0.000354
step:48801 source:(128, 18) loss:5.89211 lr:0.000354
step:49001 source:(128, 18) loss:7.36736 lr:0.000354
step:49201 source:(128, 18) loss:6.10765 lr:0.000354
step:49401 source:(128, 18) loss:6.1218 lr:0.000354
step:49601 source:(128, 18) loss:6.18676 lr:0.000354
step:49801 source:(128, 18) loss:6.22313 lr:0.000354
step:50001 source:(128, 18) loss:6.55549 lr:0.000354
step:50201 source:(128, 18) loss:6.00572 lr:0.000354
step:50401 source:(128, 18) loss:6.03702 lr:0.000354
step:50601 source:(128, 18) loss:5.94028 lr:0.000354
step:50801 source:(128, 18) loss:6.11249 lr:0.000354
epoch:65 test_present_rate:0.5 test_bleu:40.31332731246948 template_bleu:41.252151131629944
epoch:65 test_present_rate:0.5 test_bleu:40.43708145618439 template_bleu:41.226544976234436
step:51001 source:(128, 18) loss:5.9758 lr:0.000354
step:51201 source:(128, 18) loss:6.16434 lr:0.000354
step:51401 source:(128, 18) loss:6.43133 lr:0.000354
step:51601 source:(128, 18) loss:6.68355 lr:0.000354
step:51801 source:(128, 18) loss:6.2982 lr:0.000354
step:52001 source:(128, 18) loss:6.18405 lr:0.000354
step:52201 source:(128, 18) loss:6.45339 lr:0.000354
step:52401 source:(128, 18) loss:7.04017 lr:0.000354
step:52601 source:(128, 18) loss:7.09944 lr:0.000354
step:52801 source:(128, 18) loss:6.77313 lr:0.000354
step:53001 source:(128, 18) loss:6.74815 lr:0.000354
step:53201 source:(128, 18) loss:6.8177 lr:0.000354
step:53401 source:(128, 18) loss:6.26846 lr:0.000354
step:53601 source:(128, 18) loss:6.43266 lr:0.000354
step:53801 source:(128, 18) loss:6.6829 lr:0.000354
step:54001 source:(128, 18) loss:7.70868 lr:0.000354
step:54201 source:(128, 18) loss:6.71153 lr:0.000354
step:54401 source:(128, 18) loss:6.07764 lr:0.000354
step:54601 source:(128, 18) loss:6.80229 lr:0.000354
epoch:70 test_present_rate:0.5 test_bleu:40.18577039241791 template_bleu:41.326624155044556
epoch:70 test_present_rate:0.5 test_bleu:40.0939404964447 template_bleu:41.12672209739685
step:54801 source:(128, 18) loss:7.17065 lr:0.000354
step:55001 source:(128, 18) loss:6.49121 lr:0.000354
step:55201 source:(128, 18) loss:6.90144 lr:0.000354
step:55401 source:(128, 18) loss:7.01787 lr:0.000354
step:55601 source:(128, 18) loss:6.79717 lr:0.000354
step:55801 source:(128, 18) loss:7.3466 lr:0.000354
step:56001 source:(128, 18) loss:7.15035 lr:0.000354
step:56201 source:(128, 18) loss:7.14723 lr:0.000354
step:56401 source:(128, 18) loss:6.54433 lr:0.000354
step:56601 source:(128, 18) loss:7.48732 lr:0.000354
step:56801 source:(128, 18) loss:7.06251 lr:0.000354
step:57001 source:(128, 18) loss:7.54966 lr:0.000354
step:57201 source:(128, 18) loss:7.86309 lr:0.000354
step:57401 source:(128, 18) loss:7.07935 lr:0.000354
step:57601 source:(128, 18) loss:7.20481 lr:0.000354
step:57801 source:(128, 18) loss:6.87266 lr:0.000354
step:58001 source:(128, 18) loss:6.82748 lr:0.000354
step:58201 source:(128, 18) loss:7.50032 lr:0.000354
step:58401 source:(128, 18) loss:7.57741 lr:0.000354
step:58601 source:(128, 18) loss:7.54528 lr:0.000354
epoch:75 test_present_rate:0.5 test_bleu:39.871856570243835 template_bleu:41.38319790363312
epoch:75 test_present_rate:0.5 test_bleu:39.542797207832336 template_bleu:41.14133417606354
step:58801 source:(128, 18) loss:7.96098 lr:0.000354
step:59001 source:(128, 18) loss:7.85508 lr:0.000354
step:59201 source:(128, 18) loss:7.16779 lr:0.000354
step:59401 source:(128, 18) loss:7.7714 lr:0.000354
step:59601 source:(128, 18) loss:7.72326 lr:0.000354
step:59801 source:(128, 18) loss:7.19176 lr:0.000354
step:60001 source:(128, 18) loss:7.94882 lr:0.000354
step:60201 source:(128, 18) loss:9.26758 lr:0.000354
step:60401 source:(128, 18) loss:7.82972 lr:0.000354
step:60601 source:(128, 18) loss:8.31451 lr:0.000354
