train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize128.epoch150.seqlen16.random.present0.5.partition2.hidden512.seq2seq/
step:31601 source:(128, 18) loss:3.58634
step:31801 source:(128, 18) loss:3.58266
step:32001 source:(128, 18) loss:3.60938
step:32201 source:(128, 18) loss:3.62431
step:32401 source:(128, 18) loss:3.60284
step:32601 source:(128, 18) loss:3.58203
step:32801 source:(128, 18) loss:3.61683
step:33001 source:(128, 18) loss:3.69428
step:33201 source:(128, 18) loss:3.58934
step:33401 source:(128, 18) loss:3.6333
step:33601 source:(128, 18) loss:3.58938
step:33801 source:(128, 18) loss:3.58706
step:34001 source:(128, 18) loss:3.59722
step:34201 source:(128, 18) loss:3.60182
step:34401 source:(128, 18) loss:3.59848
step:34601 source:(128, 18) loss:3.59656
step:34801 source:(128, 18) loss:3.56229
step:35001 source:(128, 18) loss:3.52942
epoch:45 test_bleu:44.42799687385559 template_bleu:41.46714806556702
epoch:45 train_bleu:44.57308650016785 template_bleu:41.2291944026947
step:35201 source:(128, 18) loss:3.564
step:35401 source:(128, 18) loss:3.57607
step:35601 source:(128, 18) loss:3.62984
step:35801 source:(128, 18) loss:3.59643
step:36001 source:(128, 18) loss:3.57473
step:36201 source:(128, 18) loss:3.56106
step:36401 source:(128, 18) loss:3.55661
step:36601 source:(128, 18) loss:3.61887
step:36801 source:(128, 18) loss:3.59041
step:37001 source:(128, 18) loss:3.58762
step:37201 source:(128, 18) loss:3.57337
step:37401 source:(128, 18) loss:3.53691
step:37601 source:(128, 18) loss:3.64926
step:37801 source:(128, 18) loss:3.59615
step:38001 source:(128, 18) loss:3.60663
step:38201 source:(128, 18) loss:3.59966
step:38401 source:(128, 18) loss:3.60486
step:38601 source:(128, 18) loss:3.56519
step:38801 source:(128, 18) loss:3.53809
step:39001 source:(128, 18) loss:3.61002
epoch:50 test_bleu:44.437092542648315 template_bleu:41.199883818626404
epoch:50 train_bleu:44.8420524597168 template_bleu:41.320398449897766
step:39201 source:(128, 18) loss:3.60941
step:39401 source:(128, 18) loss:3.53473
step:39601 source:(128, 18) loss:3.6202
step:39801 source:(128, 18) loss:3.58258
step:40001 source:(128, 18) loss:3.60513
step:40201 source:(128, 18) loss:3.65037
step:40401 source:(128, 18) loss:3.55533
step:40601 source:(128, 18) loss:3.48008
step:40801 source:(128, 18) loss:3.4656
step:41001 source:(128, 18) loss:3.49002
step:41201 source:(128, 18) loss:3.60232
step:41401 source:(128, 18) loss:3.5186
step:41601 source:(128, 18) loss:3.55588
step:41801 source:(128, 18) loss:3.56266
step:42001 source:(128, 18) loss:3.48533
step:42201 source:(128, 18) loss:3.58421
step:42401 source:(128, 18) loss:3.55033
step:42601 source:(128, 18) loss:3.55166
step:42801 source:(128, 18) loss:3.55544
step:43001 source:(128, 18) loss:3.54706
epoch:55 test_bleu:43.7747061252594 template_bleu:40.69468677043915
epoch:55 train_bleu:44.77089047431946 template_bleu:41.23850166797638
step:43201 source:(128, 18) loss:3.56977
step:43401 source:(128, 18) loss:3.5597
step:43601 source:(128, 18) loss:3.56346
step:43801 source:(128, 18) loss:3.54801
step:44001 source:(128, 18) loss:3.59284
step:44201 source:(128, 18) loss:3.54478
step:44401 source:(128, 18) loss:3.57721
step:44601 source:(128, 18) loss:3.59249
step:44801 source:(128, 18) loss:3.56729
step:45001 source:(128, 18) loss:3.56125
step:45201 source:(128, 18) loss:3.56392
step:45401 source:(128, 18) loss:3.57368
step:45601 source:(128, 18) loss:3.6456
step:45801 source:(128, 18) loss:3.56907
step:46001 source:(128, 18) loss:3.53439
step:46201 source:(128, 18) loss:3.58511
step:46401 source:(128, 18) loss:3.68939
step:46601 source:(128, 18) loss:3.6016
step:46801 source:(128, 18) loss:3.55127
epoch:60 test_bleu:44.477710127830505 template_bleu:41.28040075302124
epoch:60 train_bleu:44.966304302215576 template_bleu:41.193681955337524
step:47001 source:(128, 18) loss:3.62262
step:47201 source:(128, 18) loss:3.60961
step:47401 source:(128, 18) loss:3.54817
step:47601 source:(128, 18) loss:3.60732
step:47801 source:(128, 18) loss:3.45104
step:48001 source:(128, 18) loss:3.52185
step:48201 source:(128, 18) loss:3.58978
step:48401 source:(128, 18) loss:3.50195
step:48601 source:(128, 18) loss:3.55948
step:48801 source:(128, 18) loss:3.55195
step:49001 source:(128, 18) loss:3.60165
step:49201 source:(128, 18) loss:3.56989
step:49401 source:(128, 18) loss:3.61605
